country_id,Country,Region
150,Equatorial Guinea,Sub-Saharan Africa
151,Switzerland,Europe
152,Qatar,Middle East and North Africa
153,Poland,Europe
154,Mexico,North America
155,East Timor,Australia and Oceania
156,Rwanda,Sub-Saharan Africa
157,Cameroon,Sub-Saharan Africa
158,Egypt,Middle East and North Africa
159,Sweden,Europe
160,Uganda,Sub-Saharan Africa
161,Brunei,Asia
162,Turkmenistan,Asia
163,Tanzania,Sub-Saharan Africa
164,Nigeria,Sub-Saharan Africa
165,Benin,Sub-Saharan Africa
166,Yemen,Middle East and North Africa
167,Latvia,Europe
168,Indonesia,Asia
169,North Korea,Asia
170,Republic of the Congo,Sub-Saharan Africa
171,Burkina Faso,Sub-Saharan Africa
172,Samoa ,Australia and Oceania
173,Pakistan,Middle East and North Africa
174,Andorra,Europe
175,Mauritius ,Sub-Saharan Africa
176,Guinea-Bissau,Sub-Saharan Africa
177,Algeria,Middle East and North Africa
178,Lithuania,Europe
179,Ireland,Europe
180,Cambodia,Asia
181,Serbia,Europe
182,Maldives,Asia
183,Mali,Sub-Saharan Africa
184,Portugal,Europe
185,Nauru,Australia and Oceania
